Country of nationality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total,69909,69975,69920,84989,53691,22405,29916,11840,11454,25519
Afghanistan,622,758,914,2743,1315,802,1197,603,874,1619
Angola,11,0,8,5,0,D,3,0,0,3
Armenia,5,9,47,56,58,58,33,63,34,198
Azerbaijan,8,15,15,32,21,D,0,D,0,0
Belarus,17,43,97,187,79,180,100,0,3,D
Bhutan,9045,8316,5563,5455,3340,2016,28,7,3,12
Burma,16295,14578,18323,12294,5047,3525,4928,2112,769,2141
Burundi,203,84,1218,729,304,219,259,53,134,219
Cambodia,30,45,D,21,5,0,D,0,D,32
Cameroon,0,5,17,14,24,14,28,6,D,D
Central African Republic,315,25,262,395,271,143,244,85,21,181
Chad,37,23,19,6,9,3,8,0,0,D
"China, People's Republic",102,57,30,57,27,6,D,0,0,8
Colombia,214,243,504,523,231,127,298,219,50,254
"Congo, Democratic Republic",2545,4502,7823,16279,9325,7841,12875,2863,4876,7742
"Congo, Republic",152,29,49,23,6,7,3,D,3,5
Cote d'Ivoire,21,42,28,81,50,15,67,26,31,3
Cuba,4205,4063,1526,354,178,0,D,7,D,0
Ecuador,16,9,18,6,D,D,0,0,D,8
Egypt,20,27,14,19,10,D,6,D,0,6
El Salvador,0,0,0,364,1124,724,311,362,200,524
Eritrea,1763,1445,1576,1924,1912,1260,1750,475,185,317
Ethiopia,859,754,646,1147,791,387,258,119,75,266
Gambia,11,D,D,0,5,0,D,0,3,0
Georgia,D,13,9,17,0,3,26,0,0,0
Guatemala,0,0,0,8,50,42,117,249,64,1084
Guinea,8,9,4,5,6,10,10,D,D,D
Honduras,0,0,0,84,104,59,74,90,83,447
India,15,26,23,92,53,32,D,3,D,D
Indonesia,4,17,53,38,25,16,D,D,D,7
Iran,2579,2833,3099,3736,2575,41,198,135,182,258
Iraq,19331,19651,12608,9837,6857,140,462,541,500,501
Jordan,74,41,21,13,9,D,5,D,0,6
Kazakhstan,11,22,58,87,43,45,9,28,23,10
Kenya,5,24,7,11,8,4,17,D,4,0
"Korea, North",17,8,15,14,10,5,D,D,0,4
Kuwait,13,10,8,4,6,D,D,0,0,0
Kyrgyzstan,19,13,18,39,25,12,45,0,0,0
Latvia,0,0,0,0,13,0,0,0,0,0
Lebanon,24,13,6,7,0,0,D,5,0,0
Liberia,96,32,13,17,8,6,31,31,23,11
Moldova,115,141,323,464,293,197,116,352,75,511
Nepal,115,148,217,310,199,193,16,4,21,8
Pakistan,155,239,159,546,347,444,266,169,128,37
Russia,162,147,301,487,377,442,198,190,43,39
Rwanda,143,60,186,169,122,121,104,14,47,106
Senegal,D,0,4,16,22,14,14,14,0,D
Somalia,7579,9011,8852,9032,6122,257,230,149,196,491
South Sudan,19,52,82,198,183,13,45,35,97,290
Sri Lanka,92,58,90,89,14,57,17,42,20,19
Sudan,2137,1307,1576,1444,962,74,376,258,510,1665
Syria,48,132,1693,12583,6566,62,560,486,1255,4562
Tajikistan,5,0,0,23,0,D,0,0,0,0
Thailand,5,6,20,33,11,10,3,7,D,0
Togo,16,26,D,19,D,0,D,0,0,0
Turkmenistan,7,D,D,0,0,5,18,0,0,D
Uganda,15,8,68,65,58,42,25,26,29,68
Ukraine,235,493,1454,2526,4254,2637,4432,1935,802,1586
Uzbekistan,49,68,42,37,35,27,11,8,D,4
Venezuela,3,0,0,0,0,0,0,17,D,161
Vietnam,69,68,22,55,20,10,10,12,D,14
Yemen,12,4,23,23,23,D,3,D,7,15
Zimbabwe,17,4,8,14,D,11,D,3,D,D
All other countries [1],22,57,51,71,70,36,34,20,30,48
Unknown [2],194,159,104,62,85,0,32,3,33,16
